Timestamp,SF_Product_Name,BU,Revenue,Quantity,Open_Opportunities,New_Quotes,Revenue_new_orders,Quantity_new_orders
1/1/2022,002-10064-00,D100,0,45,4,0,0,0
1/1/2022,002-1895-00,D300,49601,27,4,0,0,0
1/1/2022,1-100-1603,D100,0,29,4,0,0,0
1/1/2022,120/130 Lights - All Models,D300,88263,36,12,1,7587,3
1/1/2022,203,D100,40576,43,3,0,0,0
1/1/2022,204,D100,3067742,2772,171,14,359725,373
1/1/2022,224,D100,5724883,1570,134,12,480379,129
1/1/2022,225,D100,13938645,2911,138,4,326400,66
1/1/2022,230,D100,1166883,152,52,6,124340,16
1/1/2022,244,D100,921254,116,15,1,8117,1
1/1/2022,250 - Medical,D100,18167,68,2,0,0,0
1/1/2022,250 Exam Light,D300,4288,15,2,0,0,0
1/1/2022,253 - Medical,D100,1400991,1661,91,6,97266,111
1/1/2022,255 - Medical,D100,1148588,514,62,2,20915,9
1/1/2022,255 LED Procedure Light,D300,202698,67,27,8,51187,16
1/1/2022,270,D100,3990,42,8,0,0,0
1/1/2022,271,D100,34848,235,1,0,0,0
1/1/2022,272,D100,725976,5486,216,16,42114,310
1/1/2022,273,D100,214498,1213,52,4,39018,215
1/1/2022,274,D100,41189,189,11,1,11647,52
1/1/2022,275,D100,1161,4,1,0,0,0
1/1/2022,276,D100,600589,1566,39,3,39217,99
1/1/2022,277,D100,176463,357,11,0,0,0
1/1/2022,278,D100,5551,7,1,0,0,0
1/1/2022,279,D100,31650,50,1,0,0,0
1/1/2022,280,D100,811770,3536,130,10,38776,164
1/1/2022,281,D100,7773,14,6,0,0,0
1/1/2022,282,D100,252637,858,27,1,19677,55
1/1/2022,3-Liter Spirometer Calibration Syringe,D100,404,1,1,1,404,1
1/1/2022,4-000-0028,D100,1073882,439,31,5,22147,9
1/1/2022,425,D100,48167,115,4,0,0,0
1/1/2022,5860,D300,365278,178,36,4,26912,13
1/1/2022,6211,D100,28590,30,1,0,0,0
1/1/2022,6212,D100,3675488,3347,66,0,0,0
1/1/2022,6212,D200,1132,1,1,0,0,0
1/1/2022,6213,D100,1408471,1236,30,1,41924,36
1/1/2022,6214,D100,305338,389,38,5,24755,32
1/1/2022,6215,D100,1722653,2202,101,2,1603,2
1/1/2022,6217,D100,107697,115,2,0,0,0
1/1/2022,6218,D100,93779,119,3,0,0,0
1/1/2022,6219,D100,90028,86,3,0,0,0
1/1/2022,626 Non Scale Wired,D100,16466483,2915,128,6,1562973,269
1/1/2022,626 Scale Wired,D100,9825884,1325,31,3,729418,96
1/1/2022,626 Scale Wireless,D100,28851022,3994,184,8,253999,34
1/1/2022,6281,D100,27154,32,2,1,15214,17
1/1/2022,6282,D100,1389414,1597,24,1,67042,75
1/1/2022,6282,D200,1788,2,1,0,0,0
1/1/2022,6282,D300,4469,5,1,1,4469,5
1/1/2022,6283,D100,93670,85,1,0,0,0
1/1/2022,630,D100,7292260,768,127,11,812597,83
1/1/2022,640,D100,88440,40,6,0,0,0
1/1/2022,641,D100,1720997,173,38,5,302389,30
1/1/2022,641- Standard,D200,248917,29,10,2,26366,3
1/1/2022,641- With Rotation,D200,182215,17,8,1,21710,2
1/1/2022,647,D100,670204,102,23,3,73838,11
1/1/2022,680,D100,654,3,1,0,0,0
1/1/2022,8000-008,D300,14704,2,2,0,0,0
1/1/2022,8000-008S,D300,203861,29,20,1,7144,1
1/1/2022,8012,D300,403252,526,100,9,34219,44
1/1/2022,8019,D300,496160,104,32,7,43509,9
1/1/2022,95,D100,51056,103,6,1,1493,3
1/1/2022,Air Lift Stool,D300,9761,51,6,2,792,4
