series_key,group,bu,status,order,seasonal_order,mean_mae_h1,mae_h3,aicc,ljung_box_pvalue,fallback_model,volatility_class,warnings
VMR__D300,VMR,D300,sarima_selected,"(1, 1, 2)","(0, 1, 1, 12)",1.4145450046915518,1.2955588774094944,267.7804337301958,0.46390151476706953,,volatile,Too few observations to estimate starting parameters for seasonal ARMA. All parameters except for variances will be set to zeros.
Scavengers__D300,Scavengers,D300,sarima_selected,"(1, 1, 0)","(1, 0, 1, 12)",4.877794504255861,,338.0513408669988,0.29760324954364414,,stable,Non-invertible starting seasonal moving average Using zeros as starting parameters. | Non-stationary starting seasonal autoregressive Using zeros as starting parameters.
Ventilators__D300,Ventilators,D300,sarima_selected,"(1, 1, 2)","(0, 1, 1, 12)",1.177699940691711,1.2659534940579207,298.70649963450086,0.015822998770287238,,volatile,Too few observations to estimate starting parameters for seasonal ARMA. All parameters except for variances will be set to zeros.
VMS__D300,VMS,D300,sarima_selected,"(0, 1, 2)","(1, 1, 1, 12)",10.675052645975162,9.808068587260141,369.3866638025096,4.2613896205227766e-05,,volatile,Too few observations to estimate starting parameters for seasonal ARMA. All parameters except for variances will be set to zeros.
VMS_Plus__D300,VMS_Plus,D300,sarima_selected,"(2, 0, 2)","(0, 0, 0, 12)",19.53638560080259,19.48149020679942,446.32833109974575,0.9778698663568682,,volatile,
VME2__D300,VME2,D300,sarima_selected,"(0, 1, 1)","(0, 1, 1, 12)",2.816882589310049,2.899043194454085,289.03821835381797,0.13821608280912712,,volatile,Too few observations to estimate starting parameters for seasonal ARMA. All parameters except for variances will be set to zeros.
Vaporizers__D300,Vaporizers,D300,sarima_selected,"(0, 1, 1)","(1, 1, 0, 12)",32.40510515241885,27.44865129868276,452.8577861825103,0.35319292957814435,,volatile,
Sodasorb__D300,Sodasorb,D300,sarima_selected,"(1, 1, 0)","(0, 0, 0, 12)",277.52321067955216,,668.4069726603057,0.34923507315430663,,stable,
CMDT-45__D300,CMDT-45,D300,sarima_selected,"(1, 0, 0)","(1, 0, 1, 12)",0.6479636498009219,0.5781466842058856,126.11723347885517,0.8718450103383517,,volatile,Non-invertible starting seasonal moving average Using zeros as starting parameters.
CMDT-60__D300,CMDT-60,D300,sarima_selected,"(2, 1, 0)","(1, 1, 1, 12)",1.1083817373484954,1.5771703903346215,269.8753920561354,0.12066775130900392,,volatile,Too few observations to estimate starting parameters for seasonal ARMA. All parameters except for variances will be set to zeros.
5860__D300,5860,D300,sarima_selected,"(0, 1, 0)","(1, 0, 0, 12)",32.574414293961226,,486.9433906954565,0.6191546548249083,,stable,
7231__D300,7231,D300,sarima_selected,"(0, 1, 0)","(0, 1, 0, 12)",23.758530522128964,32.219352778807725,350.98996207587334,0.8124075698507449,,volatile,
7335__D300,7335,D300,sarima_selected,"(1, 0, 0)","(0, 0, 0, 12)",5.294720169010214,14.738675274054891,299.15858547580814,0.023654205382642946,,volatile,Non-stationary starting autoregressive parameters found. Using zeros as starting parameters.
7336__D300,7336,D300,sarima_selected,"(1, 1, 2)","(1, 1, 1, 12)",24.483053852497772,41.681755665280946,394.2349932927343,0.2738498857456076,,volatile,Too few observations to estimate starting parameters for seasonal ARMA. All parameters except for variances will be set to zeros.
7333__D300,7333,D300,sarima_selected,"(0, 1, 0)","(0, 1, 0, 12)",6.662653193503442,9.280619890707488,271.1152114933144,0.06546706621196749,,volatile,
7337__D300,7337,D300,sarima_selected,"(1, 0, 1)","(1, 0, 1, 12)",3.099282774082799,,247.02638402386475,0.8952815721051226,,volatile,
7234__D300,7234,D300,sarima_selected,"(1, 0, 0)","(0, 0, 0, 12)",57.69587368459151,96.47887278334836,500.8434859733027,0.05910255600878386,,volatile,
5840__D300,5840,D300,sarima_selected,"(0, 1, 2)","(1, 1, 1, 12)",2.8827703222892365,2.8214545089771996,283.08141345055503,0.22368053341277147,,volatile,Non-invertible starting MA parameters found. Using zeros as starting parameters. | Too few observations to estimate starting parameters for seasonal ARMA. All parameters except for variances will be set to zeros.
